ANO,MES,DIA,TMAX,TMIN,LUGAR
2020,1,4,35.4,11.7,JACHAL
2020,1,4,31.9,16.3,JUJUY AEROPUERTO
2020,1,4,25.8,14.3,JUJUY U N
2020,1,4,31.1,13.3,JUNIN AEROPUERTO
2020,1,4,24.7,11.1,LA PLATA AEROPUERTO
2020,1,4,16.3,8.9,LA QUIACA OBSERVATORIO
2020,1,4,38,18.2,LA RIOJA AEROPUERTO
2020,1,4,33.9,13,LABOULAYE AEROPUERTO
2020,1,4,25,9.3,LAS FLORES
2020,1,4,36.5,19.4,LAS LOMITAS
2020,1,4,29.6,14.8,MALARGUE AEROPUERTO
2020,1,4,29.4,6.2,MAQUINCHAO
2020,1,4,17.2,13.9,MAR DEL PLATA AEROPUERTO
2020,1,4,28,14.3,MARCOS JUAREZ AEROPUERTO
2020,1,4,,14.3,MARIANO MORENO AEROPUERTO
2020,1,4,,23.3,MENDOZA AEROPUERTO
2020,1,4,,17.6,MENDOZA OBSERVATORIO
2020,1,4,31.4,16.5,MERCEDES AEROPUERTO (CTES)
2020,1,4,,9.4,MERLO AEROPUERTO
2020,1,4,30.1,19,METAN
2020,1,4,,14.1,MONTE CASEROS AEROPUERTO
2020,1,4,25.3,15,MORON AEROPUERTO
2020,1,4,39,18.9,NEUQUEN AEROPUERTO
2020,1,4,27.3,11.3,NUEVE DE JULIO
2020,1,4,34.2,19.2,OBERA
2020,1,4,24.7,7.9,OLAVARRIA AEROPUERTO
2020,1,4,33.4,20.8,ORAN AEROPUERTO
2020,1,4,,19.7,PARANA AEROPUERTO
2020,1,4,33,,PASO DE INDIOS
2020,1,4,27.8,18.4,PASO DE LOS LIBRES AEROPUERTO
2020,1,4,28.6,8.2,PEHUAJO AEROPUERTO
2020,1,4,23.7,5.5,PERITO MORENO AEROPUERTO
2020,1,4,31,7.4,PIGUE AEROPUERTO
2020,1,4,34.4,16,PILAR OBSERVATORIO
2020,1,4,31.9,19.2,POSADAS AEROPUERTO
2020,1,4,36.9,17.7,PRESIDENCIA ROQUE SAENZ PE A AEROPUERTO
2020,1,4,19.3,11,PUERTO DESEADO AEROPUERTO
2020,1,4,23.5,11.2,PUERTO MADRYN AEROPUERTO
2020,1,4,25.5,9,PUNTA INDIO B.A.
2020,1,4,31.2,14.7,RAFAELA AEROPUERTO
2020,1,4,31.9,17,RECONQUISTA AEROPUERTO
2020,1,4,31.5,17.3,RESISTENCIA AEROPUERTO
2020,1,4,,17.4,RIO CUARTO AEROPUERTO
2020,1,4,20.2,8.1,RIO GALLEGOS AEROPUERTO
2020,1,4,15.3,5.1,RIO GRANDE B.A.
2020,1,4,35.9,21.7,RIVADAVIA
2020,1,4,28.6,14.2,ROSARIO AEROPUERTO
2020,1,4,28.2,15.3,SALTA AEROPUERTO
2020,1,4,,14.3,SAN ANTONIO OESTE AEROPUERTO
2020,1,4,23.6,16.5,SAN FERNANDO AEROPUERTO
2020,1,4,38.8,24.9,SAN JUAN AEROPUERTO
2020,1,4,22.3,9.6,SAN JULIAN AEROPUERTO
2020,1,4,33.3,19.1,SAN LUIS AEROPUERTO
2020,1,4,35.6,19.2,SAN MARTIN (MZA)
2020,1,4,37.2,17.4,SAN RAFAEL AEROPUERTO
2020,1,4,18.9,9.9,SANTA CRUZ AEROPUERTO
2020,1,4,33.4,18.1,SANTA ROSA AEROPUERTO
2020,1,4,,16.8,SANTA ROSA DE CONLARA AEROPUERTO
2020,1,4,35.7,15.7,SANTIAGO DEL ESTERO AEROPUERTO
2020,1,4,29.9,16.3,SAUCE VIEJO AEROPUERTO
2020,1,4,31.4,16.5,SUNCHALES AEROPUERTO
2020,1,4,22.1,10.4,TANDIL AEROPUERTO
2020,1,4,,19.1,TARTAGAL AEROPUERTO
2020,1,4,35.4,17.5,TERMAS DE RIO HONDO AEROPUERTO
2020,1,4,34.4,19.7,TINOGASTA
2020,1,4,28.3,7.5,TRELEW AEROPUERTO
2020,1,4,32.8,15.4,TRENQUE LAUQUEN
2020,1,4,25.1,12.3,TRES ARROYOS
2020,1,4,34.5,18.6,TUCUMAN AEROPUERTO
2020,1,4,,8.2,USHUAIA AEROPUERTO
2020,1,4,28.7,13.1,USPALLATA
2020,1,4,28.8,11.4,VENADO TUERTO AEROPUERTO
2020,1,4,33.8,14.5,VICTORICA
2020,1,4,,8.5,VIEDMA AEROPUERTO
2020,1,4,37.4,16.3,VILLA DE MARIA DEL RIO SECO
2020,1,4,33,15.9,VILLA DOLORES AEROPUERTO
